X,Y
84.295,0.120
84.536,0.120
84.536,0.241
84.416,0.241
84.416,0.361
84.536,0.361
84.536,0.481
84.295,0.481
84.295,0.601
84.055,0.601
84.055,0.722
83.814,0.722
83.814,0.842
83.694,0.842
83.694,1.082
83.814,1.082
83.814,1.203
83.935,1.203
83.935,1.563
84.055,1.563
84.055,1.684
84.175,1.684
84.175,1.804
84.295,1.804
84.295,2.165
84.175,2.165
84.175,2.285
84.416,2.285
84.416,2.405
84.536,2.405
84.536,2.766
84.656,2.766
84.656,2.886
85.017,2.886
85.017,2.766
85.137,2.766
85.137,2.285
85.017,2.285
85.017,2.044
85.137,2.044
85.137,1.924
85.257,1.924
85.257,1.684
85.378,1.684
85.378,1.563
85.498,1.563
85.498,1.443
85.738,1.443
85.738,1.323
86.219,1.323
86.219,1.443
86.580,1.443
86.580,1.563
86.460,1.563
86.460,1.924
86.340,1.924
86.340,2.044
86.219,2.044
86.219,2.165
86.340,2.165
86.340,2.285
86.460,2.285
86.460,2.646
86.219,2.646
86.219,2.766
85.979,2.766
85.979,2.886
86.099,2.886
86.099,3.006
86.219,3.006
86.219,3.127
86.340,3.127
86.340,3.247
86.460,3.247
86.460,3.367
86.340,3.367
86.340,3.487
86.219,3.487
86.219,3.608
85.979,3.608
85.979,3.728
85.257,3.728
85.257,3.848
85.137,3.848
85.137,3.968
85.017,3.968
85.017,4.209
84.776,4.209
84.776,4.329
84.416,4.329
84.416,4.449
84.295,4.449
84.295,4.329
83.814,4.329
83.814,4.209
83.574,4.209
83.574,4.329
83.694,4.329
83.694,4.449
83.574,4.449
83.574,4.329
83.454,4.329
83.454,4.449
83.333,4.449
83.333,4.329
83.213,4.329
83.213,4.209
83.333,4.209
83.333,4.329
83.454,4.329
83.454,4.209
83.574,4.209
83.574,4.089
83.454,4.089
83.454,3.968
83.694,3.968
83.694,3.728
83.814,3.728
83.814,3.608
83.935,3.608
83.935,3.367
83.574,3.367
83.574,3.608
83.333,3.608
83.333,3.848
82.973,3.848
82.973,3.968
82.492,3.968
82.492,4.209
82.371,4.209
82.371,4.089
82.251,4.089
82.251,3.968
82.131,3.968
82.131,3.848
82.011,3.848
82.011,3.728
82.131,3.728
82.131,3.367
82.011,3.367
82.011,3.247
81.890,3.247
81.890,2.766
81.770,2.766
81.770,2.646
81.530,2.646
81.530,2.525
81.409,2.525
81.409,2.285
81.289,2.285
81.289,2.044
81.049,2.044
81.049,2.165
81.169,2.165
81.169,2.285
81.049,2.285
81.049,2.405
81.169,2.405
81.169,2.525
81.049,2.525
81.049,2.646
81.169,2.646
81.169,2.766
81.049,2.766
81.049,2.886
81.169,2.886
81.169,3.127
80.928,3.127
80.928,3.247
80.808,3.247
80.808,3.487
80.447,3.487
80.447,3.367
80.327,3.367
80.327,3.247
79.966,3.247
79.966,3.127
80.207,3.127
80.207,3.006
80.087,3.006
80.087,2.886
79.846,2.886
79.846,2.044
80.087,2.044
80.087,1.924
79.966,1.924
79.966,1.684
79.726,1.684
79.726,1.563
80.087,1.563
80.087,1.443
80.207,1.443
80.207,1.082
79.966,1.082
79.966,0.962
80.207,0.962
80.207,0.722
80.327,0.722
80.327,0.842
80.447,0.842
80.447,0.962
80.808,0.962
80.808,1.082
80.928,1.082
80.928,1.203
81.049,1.203
81.049,1.323
81.169,1.323
81.169,1.563
81.049,1.563
81.049,1.804
81.169,1.804
81.169,1.924
81.289,1.924
81.289,1.804
81.409,1.804
81.409,1.684
81.289,1.684
81.289,1.443
81.409,1.443
81.409,1.203
81.530,1.203
81.530,1.082
81.890,1.082
81.890,0.842
82.011,0.842
82.011,0.722
82.131,0.722
82.131,0.601
82.251,0.601
82.251,0.481
82.371,0.481
82.371,0.361
82.131,0.361
82.131,0.241
82.011,0.241
82.011,0.000
84.295,0.000
