X,Y
9.500,19.240
9.740,19.240
9.740,19.481
9.861,19.481
9.861,19.601
9.740,19.601
9.740,19.721
9.861,19.721
9.861,20.082
9.981,20.082
9.981,19.962
10.101,19.962
10.101,20.082
10.221,20.082
10.221,19.962
10.342,19.962
10.342,20.082
10.582,20.082
10.582,20.322
10.702,20.322
10.702,20.563
10.823,20.563
10.823,20.683
10.943,20.683
10.943,20.803
11.183,20.803
11.183,20.924
11.424,20.924
11.424,21.044
11.905,21.044
11.905,21.164
12.025,21.164
12.025,21.284
12.266,21.284
12.266,21.405
12.386,21.405
12.386,21.525
12.506,21.525
12.506,21.645
12.747,21.645
12.747,21.886
12.987,21.886
12.987,22.006
13.348,22.006
13.348,22.367
13.468,22.367
13.468,22.487
13.348,22.487
13.348,22.607
13.468,22.607
13.468,22.727
13.348,22.727
13.348,22.968
13.107,22.968
13.107,23.208
11.905,23.208
11.905,23.329
11.785,23.329
11.785,23.449
11.664,23.449
11.664,23.930
11.544,23.930
11.544,24.050
11.063,24.050
11.063,23.930
10.943,23.930
10.943,23.810
11.063,23.810
11.063,23.689
10.823,23.689
10.823,23.569
10.702,23.569
10.702,23.449
10.342,23.449
10.342,23.329
10.221,23.329
10.221,23.569
9.981,23.569
9.981,23.689
9.861,23.689
9.861,24.170
9.740,24.170
9.740,24.291
9.380,24.291
9.380,24.050
9.019,24.050
9.019,23.930
8.899,23.930
8.899,24.050
8.418,24.050
8.418,24.170
8.177,24.170
8.177,24.050
7.937,24.050
7.937,23.810
7.696,23.810
7.696,23.569
7.456,23.569
7.456,23.449
7.215,23.449
7.215,23.208
6.854,23.208
6.854,23.329
6.614,23.329
6.614,23.449
6.734,23.449
6.734,23.569
6.494,23.569
6.494,23.449
6.373,23.449
6.373,23.569
6.253,23.569
6.253,23.449
6.133,23.449
6.133,23.329
5.892,23.329
5.892,23.449
5.772,23.449
5.772,23.329
5.532,23.329
5.532,23.088
5.772,23.088
5.772,22.968
5.892,22.968
5.892,22.848
6.133,22.848
6.133,22.487
6.494,22.487
6.494,22.367
7.215,22.367
7.215,22.487
7.335,22.487
7.335,22.367
7.456,22.367
7.456,22.487
7.816,22.487
7.816,22.367
8.057,22.367
8.057,22.006
7.937,22.006
7.937,21.525
8.177,21.525
8.177,21.405
8.057,21.405
8.057,21.284
8.177,21.284
8.177,21.044
8.057,21.044
8.057,20.924
7.937,20.924
7.937,20.803
8.177,20.803
8.177,20.563
8.057,20.563
8.057,20.443
8.297,20.443
8.297,20.082
8.177,20.082
8.177,19.841
8.297,19.841
8.297,19.601
8.418,19.601
8.418,19.481
8.658,19.481
8.658,19.360
8.778,19.360
8.778,19.240
8.899,19.240
8.899,19.120
9.500,19.120
