X,Y
1.804,3.127
1.924,3.127
1.924,3.247
2.165,3.247
2.165,3.487
2.405,3.487
2.405,3.608
2.285,3.608
2.285,3.848
2.405,3.848
2.405,3.968
2.525,3.968
2.525,4.089
2.405,4.089
2.405,4.209
2.044,4.209
2.044,4.329
1.924,4.329
1.924,4.570
1.684,4.570
1.684,4.690
1.924,4.690
1.924,4.810
2.044,4.810
2.044,4.930
2.165,4.930
2.165,5.051
2.285,5.051
2.285,5.171
2.525,5.171
2.525,5.291
2.646,5.291
2.646,5.411
2.766,5.411
2.766,5.532
3.487,5.532
3.487,6.133
3.367,6.133
3.367,6.253
3.247,6.253
3.247,6.373
3.127,6.373
3.127,6.494
3.247,6.494
3.247,6.614
2.766,6.614
2.766,6.734
3.006,6.734
3.006,6.854
2.886,6.854
2.886,7.095
3.006,7.095
3.006,7.215
2.405,7.215
2.405,7.335
2.285,7.335
2.285,7.456
2.405,7.456
2.405,7.576
2.165,7.576
2.165,7.696
1.804,7.696
1.804,7.816
2.165,7.816
2.165,7.937
1.443,7.937
1.443,8.057
1.203,8.057
1.203,8.177
1.082,8.177
1.082,8.057
0.962,8.057
0.962,8.177
0.842,8.177
0.842,8.418
0.722,8.418
0.722,8.778
0.481,8.778
0.481,8.899
0.361,8.899
0.361,9.019
0.241,9.019
0.241,9.259
0.120,9.259
0.120,9.380
0.000,9.380
0.000,3.487
0.601,3.487
0.601,3.728
0.722,3.728
0.722,3.608
0.962,3.608
0.962,3.367
1.203,3.367
1.203,3.127
1.443,3.127
1.443,3.006
1.563,3.006
1.563,3.127
1.684,3.127
1.684,2.886
1.804,2.886
