X,Y
12.386,120.491
13.107,120.491
13.107,120.611
13.228,120.611
13.228,120.731
13.348,120.731
13.348,120.972
13.588,120.972
13.588,121.212
13.709,121.212
13.709,121.332
13.588,121.332
13.588,121.453
13.829,121.453
13.829,121.693
13.949,121.693
13.949,122.054
13.829,122.054
13.829,122.174
14.069,122.174
14.069,122.415
14.190,122.415
14.190,122.535
14.430,122.535
14.430,122.655
14.310,122.655
14.310,122.775
14.430,122.775
14.430,123.016
14.310,123.016
14.310,123.136
11.785,123.136
11.785,122.896
11.664,122.896
11.664,123.016
11.424,123.016
11.424,123.136
9.740,123.136
9.740,123.016
9.861,123.016
9.861,122.775
9.620,122.775
9.620,122.655
9.740,122.655
9.740,122.535
9.620,122.535
9.620,122.415
9.019,122.415
9.019,122.294
8.658,122.294
8.658,122.174
8.778,122.174
8.778,121.934
8.658,121.934
8.658,121.693
8.778,121.693
8.778,121.573
8.538,121.573
8.538,121.332
8.418,121.332
8.418,121.212
8.177,121.212
8.177,121.092
8.418,121.092
8.418,121.212
8.658,121.212
8.658,121.092
9.019,121.092
9.019,120.972
9.740,120.972
9.740,121.212
9.861,121.212
9.861,121.453
10.101,121.453
10.101,121.573
10.221,121.573
10.221,121.693
10.101,121.693
10.101,121.934
10.342,121.934
10.342,122.054
10.582,122.054
10.582,122.174
10.702,122.174
10.702,122.054
10.823,122.054
10.823,122.174
10.943,122.174
10.943,122.054
11.063,122.054
11.063,122.174
11.183,122.174
11.183,122.054
11.424,122.054
11.424,121.934
11.304,121.934
11.304,121.813
11.183,121.813
11.183,121.693
11.063,121.693
11.063,121.453
11.183,121.453
11.183,121.332
11.304,121.332
11.304,121.212
11.183,121.212
11.183,121.092
11.544,121.092
11.544,120.731
11.664,120.731
11.664,120.851
11.785,120.851
11.785,120.731
12.025,120.731
12.025,120.611
11.905,120.611
11.905,120.491
12.266,120.491
12.266,120.370
12.386,120.370
