X,Y
50.986,0.241
51.106,0.241
51.106,0.601
50.986,0.601
50.986,0.842
50.866,0.842
50.866,0.962
50.625,0.962
50.625,1.082
50.746,1.082
50.746,1.323
50.986,1.323
50.986,1.563
51.106,1.563
51.106,1.684
50.866,1.684
50.866,1.804
50.746,1.804
50.746,1.924
50.866,1.924
50.866,2.165
50.746,2.165
50.746,2.285
50.144,2.285
50.144,2.044
50.024,2.044
50.024,1.924
49.784,1.924
49.784,1.804
49.663,1.804
49.663,1.203
49.543,1.203
49.543,0.962
49.303,0.962
49.303,0.722
49.182,0.722
49.182,0.481
48.822,0.481
48.822,1.203
48.581,1.203
48.581,1.443
48.220,1.443
48.220,1.563
47.860,1.563
47.860,1.684
47.980,1.684
47.980,1.804
48.100,1.804
48.100,2.285
47.980,2.285
47.980,2.646
47.860,2.646
47.860,2.766
47.619,2.766
47.619,2.886
47.379,2.886
47.379,3.006
46.777,3.006
46.777,2.886
46.657,2.886
46.657,2.646
46.777,2.646
46.777,2.525
46.537,2.525
46.537,2.044
46.657,2.044
46.657,1.804
46.777,1.804
46.777,1.563
47.138,1.563
47.138,1.443
47.619,1.443
47.619,0.962
47.379,0.962
47.379,0.842
46.898,0.842
46.898,0.962
46.657,0.962
46.657,1.323
46.537,1.323
46.537,1.443
46.296,1.443
46.296,1.563
46.056,1.563
46.056,1.684
45.936,1.684
45.936,1.804
45.815,1.804
45.815,1.684
45.695,1.684
45.695,1.804
45.575,1.804
45.575,1.924
45.815,1.924
45.815,2.165
45.695,2.165
45.695,2.285
45.575,2.285
45.575,2.525
45.455,2.525
45.455,2.646
45.334,2.646
45.334,2.766
45.214,2.766
45.214,2.886
44.974,2.886
44.974,3.006
44.733,3.006
44.733,3.247
44.372,3.247
44.372,3.367
44.252,3.367
44.252,3.487
44.132,3.487
44.132,3.608
43.170,3.608
43.170,3.487
42.689,3.487
42.689,3.006
42.569,3.006
42.569,2.766
42.448,2.766
42.448,2.525
42.328,2.525
42.328,2.405
42.208,2.405
42.208,2.285
42.448,2.285
42.448,2.165
42.569,2.165
42.569,2.044
42.448,2.044
42.448,1.804
42.208,1.804
42.208,1.443
42.328,1.443
42.328,1.203
42.448,1.203
42.448,0.962
42.208,0.962
42.208,0.722
42.088,0.722
42.088,0.481
41.847,0.481
41.847,0.361
41.727,0.361
41.727,0.120
41.607,0.120
41.607,0.000
50.986,0.000
