X, Y
33.1890, -40.0433
34.2713, -47.1381
37.2775, -45.6951
38.9610, -47.3786
38.6003, -51.5873
41.6066, -54.1126
41.0053, -51.5873
44.4926, -50.1443
46.2963, -52.5493
46.1761, -55.0746
48.8216, -53.5113
51.2266, -53.1506
52.1886, -55.5556
50.9861, -57.2391
48.8216, -57.4796
48.5811, -60.1251
46.4166, -60.6061
47.1381, -57.8403
45.2141, -57.7201
44.9736, -59.2833
41.3661, -60.3656
37.9990, -61.8086
36.5560, -60.1251
35.2333, -60.6061
34.6320, -63.0111
31.7460, -63.0111
31.7460, -65.1756
28.4993, -66.1376
27.4170, -64.2136
27.5373, -58.9226
28.8600, -57.4796
28.9803, -52.4291
26.6955, -52.0683
26.0943, -49.3026
29.1005, -48.3406
