X, Y
31.3853, -66.1376
36.3155, -69.0236
37.6383, -65.0553
41.6066, -60.8466
44.3723, -62.5301
44.8533, -65.4161
46.8976, -68.0616
49.7836, -65.8971
51.9481, -69.0236
58.4416, -64.9351
60.8466, -66.4983
58.6821, -69.2641
58.2011, -72.6311
54.3531, -73.8336
52.0683, -75.9981
52.4291, -80.0866
49.1823, -80.5676
48.5811, -83.8144
50.9861, -91.5104
46.6571, -95.8394
43.5306, -98.6051
40.4040, -96.8014
34.3915, -96.8014
37.1573, -92.8331
33.3093, -92.9534
32.9485, -90.0674
30.7840, -88.0231
31.0245, -79.4853
31.8663, -76.5993
30.3030, -74.5551
